Gender,Age,Household Income,Education,Location (Census Region),count
Male,18-29,"$25,000 - $49,999",Less than high school degree,East North Central,64204
Female,18-29,"$25,000 - $49,999",Less than high school degree,East North Central,56478
Male,30-44,"$25,000 - $49,999",Less than high school degree,East North Central,76788
Female,30-44,"$25,000 - $49,999",Less than high school degree,East North Central,75693
Male,45-60,"$25,000 - $49,999",Less than high school degree,East North Central,74919
Female,45-60,"$25,000 - $49,999",Less than high school degree,East North Central,68338
Male,> 60,"$25,000 - $49,999",Less than high school degree,East North Central,118965
Female,> 60,"$25,000 - $49,999",Less than high school degree,East North Central,123077
Male,18-29,"$50,000 - $99,999",Less than high school degree,East North Central,121145
Female,18-29,"$50,000 - $99,999",Less than high school degree,East North Central,86903
Male,30-44,"$50,000 - $99,999",Less than high school degree,East North Central,134779
Female,30-44,"$50,000 - $99,999",Less than high school degree,East North Central,100840
Male,45-60,"$50,000 - $99,999",Less than high school degree,East North Central,127408
Female,45-60,"$50,000 - $99,999",Less than high school degree,East North Central,102557
Male,> 60,"$50,000 - $99,999",Less than high school degree,East North Central,131833
Female,> 60,"$50,000 - $99,999",Less than high school degree,East North Central,126069
Male,18-29,"$100,000 - $149,999",Less than high school degree,East North Central,64322
Female,18-29,"$100,000 - $149,999",Less than high school degree,East North Central,50958
Male,30-44,"$100,000 - $149,999",Less than high school degree,East North Central,56859
Female,30-44,"$100,000 - $149,999",Less than high school degree,East North Central,40724
Male,45-60,"$100,000 - $149,999",Less than high school degree,East North Central,76464
Female,45-60,"$100,000 - $149,999",Less than high school degree,East North Central,60210
Male,> 60,"$100,000 - $149,999",Less than high school degree,East North Central,56479
Female,> 60,"$100,000 - $149,999",Less than high school degree,East North Central,53155
Male,18-29,"$150,000+",Less than high school degree,East North Central,83847
Female,18-29,"$150,000+",Less than high school degree,East North Central,55387
Male,30-44,"$150,000+",Less than high school degree,East North Central,43877
Female,30-44,"$150,000+",Less than high school degree,East North Central,31054
Male,45-60,"$150,000+",Less than high school degree,East North Central,61370
Female,45-60,"$150,000+",Less than high school degree,East North Central,46247
Male,> 60,"$150,000+",Less than high school degree,East North Central,39871
Female,> 60,"$150,000+",Less than high school degree,East North Central,41304
Male,18-29,"$0 - $24,999",High school degree,East North Central,106174
Female,18-29,"$0 - $24,999",High school degree,East North Central,126029
Male,30-44,"$0 - $24,999",High school degree,East North Central,103463
Female,30-44,"$0 - $24,999",High school degree,East North Central,111196
Male,45-60,"$0 - $24,999",High school degree,East North Central,114101
Female,45-60,"$0 - $24,999",High school degree,East North Central,134411
Male,> 60,"$0 - $24,999",High school degree,East North Central,238109
Female,> 60,"$0 - $24,999",High school degree,East North Central,421913
Male,18-29,"$25,000 - $49,999",High school degree,East North Central,201381
Female,18-29,"$25,000 - $49,999",High school degree,East North Central,187652
Male,30-44,"$25,000 - $49,999",High school degree,East North Central,185184
Female,30-44,"$25,000 - $49,999",High school degree,East North Central,169175
Male,45-60,"$25,000 - $49,999",High school degree,East North Central,196715
Female,45-60,"$25,000 - $49,999",High school degree,East North Central,175310
Male,> 60,"$25,000 - $49,999",High school degree,East North Central,393697
Female,> 60,"$25,000 - $49,999",High school degree,East North Central,573118
Male,18-29,"$50,000 - $99,999",High school degree,East North Central,444249
Female,18-29,"$50,000 - $99,999",High school degree,East North Central,320796
Male,30-44,"$50,000 - $99,999",High school degree,East North Central,459748
Female,30-44,"$50,000 - $99,999",High school degree,East North Central,298464
Male,45-60,"$50,000 - $99,999",High school degree,East North Central,436424
Female,45-60,"$50,000 - $99,999",High school degree,East North Central,337357
Male,> 60,"$50,000 - $99,999",High school degree,East North Central,642897
Female,> 60,"$50,000 - $99,999",High school degree,East North Central,685328
Male,18-29,"$100,000 - $149,999",High school degree,East North Central,294989
Female,18-29,"$100,000 - $149,999",High school degree,East North Central,191585
Male,30-44,"$100,000 - $149,999",High school degree,East North Central,295540
Female,30-44,"$100,000 - $149,999",High school degree,East North Central,171295
Male,45-60,"$100,000 - $149,999",High school degree,East North Central,310267
Female,45-60,"$100,000 - $149,999",High school degree,East North Central,223584
Male,> 60,"$100,000 - $149,999",High school degree,East North Central,241079
Female,> 60,"$100,000 - $149,999",High school degree,East North Central,239781
Male,18-29,"$150,000+",High school degree,East North Central,288631
Female,18-29,"$150,000+",High school degree,East North Central,180739
Male,30-44,"$150,000+",High school degree,East North Central,172088
Female,30-44,"$150,000+",High school degree,East North Central,106342
Male,45-60,"$150,000+",High school degree,East North Central,252350
Female,45-60,"$150,000+",High school degree,East North Central,168860
Male,> 60,"$150,000+",High school degree,East North Central,157997
Female,> 60,"$150,000+",High school degree,East North Central,166629
Male,18-29,"$0 - $24,999",Some college or Associate degree,East North Central,86049
Female,18-29,"$0 - $24,999",Some college or Associate degree,East North Central,120421
Male,30-44,"$0 - $24,999",Some college or Associate degree,East North Central,61905
Female,30-44,"$0 - $24,999",Some college or Associate degree,East North Central,118819
Male,45-60,"$0 - $24,999",Some college or Associate degree,East North Central,78957
Female,45-60,"$0 - $24,999",Some college or Associate degree,East North Central,120585
Male,> 60,"$0 - $24,999",Some college or Associate degree,East North Central,156402
Female,> 60,"$0 - $24,999",Some college or Associate degree,East North Central,281761
Male,18-29,"$25,000 - $49,999",Some college or Associate degree,East North Central,131243
Female,18-29,"$25,000 - $49,999",Some college or Associate degree,East North Central,194330
Male,30-44,"$25,000 - $49,999",Some college or Associate degree,East North Central,152638
Female,30-44,"$25,000 - $49,999",Some college or Associate degree,East North Central,227570
Male,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central,121146
Female,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central,183119
Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central,268589
Female,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central,407472
Male,18-29,"$50,000 - $99,999",Some college or Associate degree,East North Central,304981
Female,18-29,"$50,000 - $99,999",Some college or Associate degree,East North Central,350800
Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,440624
Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,449251
Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,337458
Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,405356
Male,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,530616
Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,607609
Male,18-29,"$100,000 - $149,999",Some college or Associate degree,East North Central,231792
Female,18-29,"$100,000 - $149,999",Some college or Associate degree,East North Central,223934
Male,30-44,"$100,000 - $149,999",Some college or Associate degree,East North Central,366435
Female,30-44,"$100,000 - $149,999",Some college or Associate degree,East North Central,338748
Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,326382
Female,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,329157
Male,> 60,"$100,000 - $149,999",Some college or Associate degree,East North Central,264391
Female,> 60,"$100,000 - $149,999",Some college or Associate degree,East North Central,266037
Male,18-29,"$150,000+",Some college or Associate degree,East North Central,260518
Female,18-29,"$150,000+",Some college or Associate degree,East North Central,201862
Male,30-44,"$150,000+",Some college or Associate degree,East North Central,278260
Female,30-44,"$150,000+",Some college or Associate degree,East North Central,227959
Male,45-60,"$150,000+",Some college or Associate degree,East North Central,377489
Female,45-60,"$150,000+",Some college or Associate degree,East North Central,360207
Male,> 60,"$150,000+",Some college or Associate degree,East North Central,199142
Female,> 60,"$150,000+",Some college or Associate degree,East North Central,211430
Male,18-29,"$0 - $24,999",Bachelor degree,East North Central,41216
Female,18-29,"$0 - $24,999",Bachelor degree,East North Central,47653
Male,30-44,"$0 - $24,999",Bachelor degree,East North Central,24713
Female,30-44,"$0 - $24,999",Bachelor degree,East North Central,28862
Male,45-60,"$0 - $24,999",Bachelor degree,East North Central,27050
Female,45-60,"$0 - $24,999",Bachelor degree,East North Central,37123
Male,> 60,"$0 - $24,999",Bachelor degree,East North Central,62517
Female,> 60,"$0 - $24,999",Bachelor degree,East North Central,82454
Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,59256
Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,88809
Male,30-44,"$25,000 - $49,999",Bachelor degree,East North Central,62509
Female,30-44,"$25,000 - $49,999",Bachelor degree,East North Central,81369
Male,45-60,"$25,000 - $49,999",Bachelor degree,East North Central,41487
Female,45-60,"$25,000 - $49,999",Bachelor degree,East North Central,56894
Male,> 60,"$25,000 - $49,999",Bachelor degree,East North Central,99996
Female,> 60,"$25,000 - $49,999",Bachelor degree,East North Central,136640
Male,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,187901
Female,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,223668
Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,244363
Female,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,291624
Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,141775
Female,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,202466
Male,> 60,"$50,000 - $99,999",Bachelor degree,East North Central,271804
Female,> 60,"$50,000 - $99,999",Bachelor degree,East North Central,283440
Male,18-29,"$100,000 - $149,999",Bachelor degree,East North Central,161278
Female,18-29,"$100,000 - $149,999",Bachelor degree,East North Central,208493
Male,30-44,"$100,000 - $149,999",Bachelor degree,East North Central,291988
Female,30-44,"$100,000 - $149,999",Bachelor degree,East North Central,347850
Male,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,193318
Female,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,240326
Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,185231
Female,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,174689
Male,18-29,"$150,000+",Bachelor degree,East North Central,211633
Female,18-29,"$150,000+",Bachelor degree,East North Central,215499
Male,30-44,"$150,000+",Bachelor degree,East North Central,476771
Female,30-44,"$150,000+",Bachelor degree,East North Central,481382
Male,45-60,"$150,000+",Bachelor degree,East North Central,477544
Female,45-60,"$150,000+",Bachelor degree,East North Central,485680
Male,> 60,"$150,000+",Bachelor degree,East North Central,250247
Female,> 60,"$150,000+",Bachelor degree,East North Central,224319
Male,18-29,"$0 - $24,999",Graduate degree,East North Central,8274
Female,18-29,"$0 - $24,999",Graduate degree,East North Central,15128
Male,30-44,"$0 - $24,999",Graduate degree,East North Central,13857
Female,30-44,"$0 - $24,999",Graduate degree,East North Central,14522
Male,45-60,"$0 - $24,999",Graduate degree,East North Central,12549
Female,45-60,"$0 - $24,999",Graduate degree,East North Central,17914
Male,> 60,"$0 - $24,999",Graduate degree,East North Central,30968
Female,> 60,"$0 - $24,999",Graduate degree,East North Central,44346
Male,18-29,"$25,000 - $49,999",Graduate degree,East North Central,16453
Female,18-29,"$25,000 - $49,999",Graduate degree,East North Central,25772
Male,30-44,"$25,000 - $49,999",Graduate degree,East North Central,20390
Female,30-44,"$25,000 - $49,999",Graduate degree,East North Central,30128
Male,45-60,"$25,000 - $49,999",Graduate degree,East North Central,17643
Female,45-60,"$25,000 - $49,999",Graduate degree,East North Central,22261
Male,> 60,"$25,000 - $49,999",Graduate degree,East North Central,54494
Female,> 60,"$25,000 - $49,999",Graduate degree,East North Central,80376
Male,18-29,"$50,000 - $99,999",Graduate degree,East North Central,37486
Female,18-29,"$50,000 - $99,999",Graduate degree,East North Central,54064
Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central,105485
Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central,167935
Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central,65255
Female,45-60,"$50,000 - $99,999",Graduate degree,East North Central,104873
Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central,167765
Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central,199908
Male,18-29,"$100,000 - $149,999",Graduate degree,East North Central,32483
Female,18-29,"$100,000 - $149,999",Graduate degree,East North Central,57820
Male,30-44,"$100,000 - $149,999",Graduate degree,East North Central,127260
Female,30-44,"$100,000 - $149,999",Graduate degree,East North Central,182095
Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central,101945
Female,45-60,"$100,000 - $149,999",Graduate degree,East North Central,147030
Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central,144631
Female,> 60,"$100,000 - $149,999",Graduate degree,East North Central,143570
Male,18-29,"$150,000+",Graduate degree,East North Central,40405
Female,18-29,"$150,000+",Graduate degree,East North Central,65973
Male,30-44,"$150,000+",Graduate degree,East North Central,323240
Female,30-44,"$150,000+",Graduate degree,East North Central,445827
Male,45-60,"$150,000+",Graduate degree,East North Central,379908
Female,45-60,"$150,000+",Graduate degree,East North Central,410178
Male,> 60,"$150,000+",Graduate degree,East North Central,268579
Female,> 60,"$150,000+",Graduate degree,East North Central,203039
Male,18-29,"$0 - $24,999",Less than high school degree,West North Central,21048
Female,18-29,"$0 - $24,999",Less than high school degree,West North Central,14823
Male,30-44,"$0 - $24,999",Less than high school degree,West North Central,14374
Female,30-44,"$0 - $24,999",Less than high school degree,West North Central,24788
Male,45-60,"$0 - $24,999",Less than high school degree,West North Central,23276
Female,45-60,"$0 - $24,999",Less than high school degree,West North Central,20469
Male,> 60,"$0 - $24,999",Less than high school degree,West North Central,37491
Female,> 60,"$0 - $24,999",Less than high school degree,West North Central,62901
Male,18-29,"$25,000 - $49,999",Less than high school degree,West North Central,24187
Female,18-29,"$25,000 - $49,999",Less than high school degree,West North Central,26329
Male,30-44,"$25,000 - $49,999",Less than high school degree,West North Central,30873
Female,30-44,"$25,000 - $49,999",Less than high school degree,West North Central,27877
Male,45-60,"$25,000 - $49,999",Less than high school degree,West North Central,27532
Female,45-60,"$25,000 - $49,999",Less than high school degree,West North Central,25319
Male,> 60,"$25,000 - $49,999",Less than high school degree,West North Central,38487
Female,> 60,"$25,000 - $49,999",Less than high school degree,West North Central,45039
Male,18-29,"$50,000 - $99,999",Less than high school degree,West North Central,59227
Female,18-29,"$50,000 - $99,999",Less than high school degree,West North Central,28466
Male,30-44,"$50,000 - $99,999",Less than high school degree,West North Central,63993
Female,30-44,"$50,000 - $99,999",Less than high school degree,West North Central,40522
Male,45-60,"$50,000 - $99,999",Less than high school degree,West North Central,47111
Female,45-60,"$50,000 - $99,999",Less than high school degree,West North Central,40787
Male,> 60,"$50,000 - $99,999",Less than high school degree,West North Central,56222
Female,> 60,"$50,000 - $99,999",Less than high school degree,West North Central,41041
Male,18-29,"$100,000 - $149,999",Less than high school degree,West North Central,33740
Female,18-29,"$100,000 - $149,999",Less than high school degree,West North Central,24432
Male,30-44,"$100,000 - $149,999",Less than high school degree,West North Central,30059
Female,30-44,"$100,000 - $149,999",Less than high school degree,West North Central,20496
Male,45-60,"$100,000 - $149,999",Less than high school degree,West North Central,32839
Female,45-60,"$100,000 - $149,999",Less than high school degree,West North Central,23292
Male,> 60,"$100,000 - $149,999",Less than high school degree,West North Central,19611
Female,> 60,"$100,000 - $149,999",Less than high school degree,West North Central,16147
Male,18-29,"$150,000+",Less than high school degree,West North Central,38567
Female,18-29,"$150,000+",Less than high school degree,West North Central,23688
Male,30-44,"$150,000+",Less than high school degree,West North Central,18912
Female,30-44,"$150,000+",Less than high school degree,West North Central,14722
Male,45-60,"$150,000+",Less than high school degree,West North Central,20100
Female,45-60,"$150,000+",Less than high school degree,West North Central,17423
Male,> 60,"$150,000+",Less than high school degree,West North Central,10272
Female,> 60,"$150,000+",Less than high school degree,West North Central,14921
Male,18-29,"$0 - $24,999",High school degree,West North Central,45703
Female,18-29,"$0 - $24,999",High school degree,West North Central,55997
Male,30-44,"$0 - $24,999",High school degree,West North Central,36421
Female,30-44,"$0 - $24,999",High school degree,West North Central,35562
Male,45-60,"$0 - $24,999",High school degree,West North Central,46910
Female,45-60,"$0 - $24,999",High school degree,West North Central,49946
Male,> 60,"$0 - $24,999",High school degree,West North Central,107079
Female,> 60,"$0 - $24,999",High school degree,West North Central,178206
Male,18-29,"$25,000 - $49,999",High school degree,West North Central,96481
Female,18-29,"$25,000 - $49,999",High school degree,West North Central,88667
Male,30-44,"$25,000 - $49,999",High school degree,West North Central,85245
Female,30-44,"$25,000 - $49,999",High school degree,West North Central,70072
Male,45-60,"$25,000 - $49,999",High school degree,West North Central,71226
Female,45-60,"$25,000 - $49,999",High school degree,West North Central,70844
Male,> 60,"$25,000 - $49,999",High school degree,West North Central,176499
Female,> 60,"$25,000 - $49,999",High school degree,West North Central,231912
Male,18-29,"$50,000 - $99,999",High school degree,West North Central,189227
Female,18-29,"$50,000 - $99,999",High school degree,West North Central,143889
Male,30-44,"$50,000 - $99,999",High school degree,West North Central,198484
Female,30-44,"$50,000 - $99,999",High school degree,West North Central,131743
Male,45-60,"$50,000 - $99,999",High school degree,West North Central,172132
Female,45-60,"$50,000 - $99,999",High school degree,West North Central,122059
Male,> 60,"$50,000 - $99,999",High school degree,West North Central,284136
Female,> 60,"$50,000 - $99,999",High school degree,West North Central,276941
Male,18-29,"$100,000 - $149,999",High school degree,West North Central,126574
Female,18-29,"$100,000 - $149,999",High school degree,West North Central,75969
Male,30-44,"$100,000 - $149,999",High school degree,West North Central,128684
Female,30-44,"$100,000 - $149,999",High school degree,West North Central,71376
Male,45-60,"$100,000 - $149,999",High school degree,West North Central,123952
Female,45-60,"$100,000 - $149,999",High school degree,West North Central,83622
Male,> 60,"$100,000 - $149,999",High school degree,West North Central,111470
Female,> 60,"$100,000 - $149,999",High school degree,West North Central,103464
Male,18-29,"$150,000+",High school degree,West North Central,127185
Female,18-29,"$150,000+",High school degree,West North Central,74194
Male,30-44,"$150,000+",High school degree,West North Central,72024
Female,30-44,"$150,000+",High school degree,West North Central,43907
Male,45-60,"$150,000+",High school degree,West North Central,111322
Female,45-60,"$150,000+",High school degree,West North Central,71352
Male,> 60,"$150,000+",High school degree,West North Central,69971
Female,> 60,"$150,000+",High school degree,West North Central,78296
Male,18-29,"$0 - $24,999",Some college or Associate degree,West North Central,46356
Female,18-29,"$0 - $24,999",Some college or Associate degree,West North Central,60137
Male,30-44,"$0 - $24,999",Some college or Associate degree,West North Central,27865
Female,30-44,"$0 - $24,999",Some college or Associate degree,West North Central,47973
Male,45-60,"$0 - $24,999",Some college or Associate degree,West North Central,31185
Female,45-60,"$0 - $24,999",Some college or Associate degree,West North Central,48253
Male,> 60,"$0 - $24,999",Some college or Associate degree,West North Central,66560
Female,> 60,"$0 - $24,999",Some college or Associate degree,West North Central,134583
Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West North Central,80759
Female,18-29,"$25,000 - $49,999",Some college or Associate degree,West North Central,99957
Male,30-44,"$25,000 - $49,999",Some college or Associate degree,West North Central,68620
Female,30-44,"$25,000 - $49,999",Some college or Associate degree,West North Central,86127
Male,45-60,"$25,000 - $49,999",Some college or Associate degree,West North Central,53097
Female,45-60,"$25,000 - $49,999",Some college or Associate degree,West North Central,75072
Male,> 60,"$25,000 - $49,999",Some college or Associate degree,West North Central,127337
Female,> 60,"$25,000 - $49,999",Some college or Associate degree,West North Central,188256
Male,18-29,"$50,000 - $99,999",Some college or Associate degree,West North Central,178610
Female,18-29,"$50,000 - $99,999",Some college or Associate degree,West North Central,176964
Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,239455
Female,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,232471
Male,45-60,"$50,000 - $99,999",Some college or Associate degree,West North Central,169114
Female,45-60,"$50,000 - $99,999",Some college or Associate degree,West North Central,185394
Male,> 60,"$50,000 - $99,999",Some college or Associate degree,West North Central,258100
Female,> 60,"$50,000 - $99,999",Some college or Associate degree,West North Central,300826
Male,18-29,"$100,000 - $149,999",Some college or Associate degree,West North Central,114938
Female,18-29,"$100,000 - $149,999",Some college or Associate degree,West North Central,104963
Male,30-44,"$100,000 - $149,999",Some college or Associate degree,West North Central,193582
Female,30-44,"$100,000 - $149,999",Some college or Associate degree,West North Central,178832
Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central,162136
Female,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central,157841
Male,> 60,"$100,000 - $149,999",Some college or Associate degree,West North Central,133926
Female,> 60,"$100,000 - $149,999",Some college or Associate degree,West North Central,130744
Male,18-29,"$150,000+",Some college or Associate degree,West North Central,109425
Female,18-29,"$150,000+",Some college or Associate degree,West North Central,87847
Male,30-44,"$150,000+",Some college or Associate degree,West North Central,138841
Female,30-44,"$150,000+",Some college or Associate degree,West North Central,121462
Male,45-60,"$150,000+",Some college or Associate degree,West North Central,192108
Female,45-60,"$150,000+",Some college or Associate degree,West North Central,158914
Male,> 60,"$150,000+",Some college or Associate degree,West North Central,98036
Female,> 60,"$150,000+",Some college or Associate degree,West North Central,98750
Male,18-29,"$0 - $24,999",Bachelor degree,West North Central,15125
Female,18-29,"$0 - $24,999",Bachelor degree,West North Central,24813
Male,30-44,"$0 - $24,999",Bachelor degree,West North Central,12101
Female,30-44,"$0 - $24,999",Bachelor degree,West North Central,9903
Male,45-60,"$0 - $24,999",Bachelor degree,West North Central,9104
Female,45-60,"$0 - $24,999",Bachelor degree,West North Central,15680
Male,> 60,"$0 - $24,999",Bachelor degree,West North Central,28696
Female,> 60,"$0 - $24,999",Bachelor degree,West North Central,40938
Male,18-29,"$25,000 - $49,999",Bachelor degree,West North Central,33929
Female,18-29,"$25,000 - $49,999",Bachelor degree,West North Central,41523
Male,30-44,"$25,000 - $49,999",Bachelor degree,West North Central,27799
Female,30-44,"$25,000 - $49,999",Bachelor degree,West North Central,36662
Male,45-60,"$25,000 - $49,999",Bachelor degree,West North Central,15367
Female,45-60,"$25,000 - $49,999",Bachelor degree,West North Central,28741
Male,> 60,"$25,000 - $49,999",Bachelor degree,West North Central,50227
Female,> 60,"$25,000 - $49,999",Bachelor degree,West North Central,73190
Male,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,98953
Female,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,125491
Male,30-44,"$50,000 - $99,999",Bachelor degree,West North Central,112462
Female,30-44,"$50,000 - $99,999",Bachelor degree,West North Central,139331
Male,45-60,"$50,000 - $99,999",Bachelor degree,West North Central,76444
Female,45-60,"$50,000 - $99,999",Bachelor degree,West North Central,105389
Male,> 60,"$50,000 - $99,999",Bachelor degree,West North Central,142853
Female,> 60,"$50,000 - $99,999",Bachelor degree,West North Central,151679
Male,18-29,"$100,000 - $149,999",Bachelor degree,West North Central,73566
Female,18-29,"$100,000 - $149,999",Bachelor degree,West North Central,99965
Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central,153028
Female,30-44,"$100,000 - $149,999",Bachelor degree,West North Central,169875
Male,45-60,"$100,000 - $149,999",Bachelor degree,West North Central,91988
Female,45-60,"$100,000 - $149,999",Bachelor degree,West North Central,107888
Male,> 60,"$100,000 - $149,999",Bachelor degree,West North Central,94215
Female,> 60,"$100,000 - $149,999",Bachelor degree,West North Central,91521
Male,18-29,"$150,000+",Bachelor degree,West North Central,77277
Female,18-29,"$150,000+",Bachelor degree,West North Central,80635
Male,30-44,"$150,000+",Bachelor degree,West North Central,216753
Female,30-44,"$150,000+",Bachelor degree,West North Central,231250
Male,45-60,"$150,000+",Bachelor degree,West North Central,235352
Female,45-60,"$150,000+",Bachelor degree,West North Central,220594
Male,> 60,"$150,000+",Bachelor degree,West North Central,115332
Female,> 60,"$150,000+",Bachelor degree,West North Central,103869
Male,18-29,"$0 - $24,999",Graduate degree,West North Central,7831
Female,18-29,"$0 - $24,999",Graduate degree,West North Central,5312
Male,30-44,"$0 - $24,999",Graduate degree,West North Central,3939
Female,30-44,"$0 - $24,999",Graduate degree,West North Central,5697
Male,45-60,"$0 - $24,999",Graduate degree,West North Central,4198
Female,45-60,"$0 - $24,999",Graduate degree,West North Central,6269
Male,> 60,"$0 - $24,999",Graduate degree,West North Central,13588
Female,> 60,"$0 - $24,999",Graduate degree,West North Central,20111
Male,18-29,"$25,000 - $49,999",Graduate degree,West North Central,5826
Female,18-29,"$25,000 - $49,999",Graduate degree,West North Central,9874
Male,30-44,"$25,000 - $49,999",Graduate degree,West North Central,12822
Female,30-44,"$25,000 - $49,999",Graduate degree,West North Central,12786
Male,45-60,"$25,000 - $49,999",Graduate degree,West North Central,8082
Female,45-60,"$25,000 - $49,999",Graduate degree,West North Central,11820
Male,> 60,"$25,000 - $49,999",Graduate degree,West North Central,27401
Female,> 60,"$25,000 - $49,999",Graduate degree,West North Central,38223
Male,18-29,"$50,000 - $99,999",Graduate degree,West North Central,16419
Female,18-29,"$50,000 - $99,999",Graduate degree,West North Central,20920
Male,30-44,"$50,000 - $99,999",Graduate degree,West North Central,47948
Female,30-44,"$50,000 - $99,999",Graduate degree,West North Central,70979
Male,45-60,"$50,000 - $99,999",Graduate degree,West North Central,31445
Female,45-60,"$50,000 - $99,999",Graduate degree,West North Central,51720
Male,> 60,"$50,000 - $99,999",Graduate degree,West North Central,81884
Female,> 60,"$50,000 - $99,999",Graduate degree,West North Central,87073
Male,18-29,"$100,000 - $149,999",Graduate degree,West North Central,10975
Female,18-29,"$100,000 - $149,999",Graduate degree,West North Central,25655
Male,30-44,"$100,000 - $149,999",Graduate degree,West North Central,60667
Female,30-44,"$100,000 - $149,999",Graduate degree,West North Central,101003
Male,45-60,"$100,000 - $149,999",Graduate degree,West North Central,47627
Female,45-60,"$100,000 - $149,999",Graduate degree,West North Central,71398
Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central,64677
Female,> 60,"$100,000 - $149,999",Graduate degree,West North Central,62801
Male,18-29,"$150,000+",Graduate degree,West North Central,13796
Female,18-29,"$150,000+",Graduate degree,West North Central,26811
Male,30-44,"$150,000+",Graduate degree,West North Central,142381
Female,30-44,"$150,000+",Graduate degree,West North Central,199197
Male,45-60,"$150,000+",Graduate degree,West North Central,150853
Female,45-60,"$150,000+",Graduate degree,West North Central,178611
Male,> 60,"$150,000+",Graduate degree,West North Central,111557
Female,> 60,"$150,000+",Graduate degree,West North Central,73308
Male,18-29,"$0 - $24,999",Less than high school degree,South Atlantic,61436
Female,18-29,"$0 - $24,999",Less than high school degree,South Atlantic,52580
Male,30-44,"$0 - $24,999",Less than high school degree,South Atlantic,70296
Female,30-44,"$0 - $24,999",Less than high school degree,South Atlantic,92035
Male,45-60,"$0 - $24,999",Less than high school degree,South Atlantic,80237
Female,45-60,"$0 - $24,999",Less than high school degree,South Atlantic,92848
Male,> 60,"$0 - $24,999",Less than high school degree,South Atlantic,198700
Female,> 60,"$0 - $24,999",Less than high school degree,South Atlantic,281255
Male,18-29,"$25,000 - $49,999",Less than high school degree,South Atlantic,96574
Female,18-29,"$25,000 - $49,999",Less than high school degree,South Atlantic,71941
Male,30-44,"$25,000 - $49,999",Less than high school degree,South Atlantic,144988
Female,30-44,"$25,000 - $49,999",Less than high school degree,South Atlantic,105943
Male,45-60,"$25,000 - $49,999",Less than high school degree,South Atlantic,120886
Female,45-60,"$25,000 - $49,999",Less than high school degree,South Atlantic,107671
Male,> 60,"$25,000 - $49,999",Less than high school degree,South Atlantic,192772
Female,> 60,"$25,000 - $49,999",Less than high school degree,South Atlantic,206960
Male,18-29,"$50,000 - $99,999",Less than high school degree,South Atlantic,185076
Female,18-29,"$50,000 - $99,999",Less than high school degree,South Atlantic,131655
Male,30-44,"$50,000 - $99,999",Less than high school degree,South Atlantic,221223
Female,30-44,"$50,000 - $99,999",Less than high school degree,South Atlantic,149489
Male,45-60,"$50,000 - $99,999",Less than high school degree,South Atlantic,232219
Female,45-60,"$50,000 - $99,999",Less than high school degree,South Atlantic,177072
Male,> 60,"$50,000 - $99,999",Less than high school degree,South Atlantic,215478
Female,> 60,"$50,000 - $99,999",Less than high school degree,South Atlantic,221595
Male,18-29,"$100,000 - $149,999",Less than high school degree,South Atlantic,114795
Female,18-29,"$100,000 - $149,999",Less than high school degree,South Atlantic,72451
